rank,feature,importance
1,bin__velocity_burst,0.1249348262029507
2,num__txn_velocity_1h,0.10956484599599217
3,num__account_age_days,0.10737598129207282
4,num__txn_velocity_24h,0.10475880887136689
5,num__ip_risk_score,0.07789840167507642
6,num__risk_score_internal,0.07142927652890894
7,bin__ip_high_risk,0.059348409631215335
8,num__device_trust_score,0.045035847652244526
9,bin__account_very_new,0.03250688536318677
10,num__amount_usd,0.030082359084779804
11,bin__device_low_trust,0.025830306750911212
12,bin__new_device,0.025646608531076608
13,num__amount_src,0.024464231417502272
14,num__fee,0.02306282838584445
15,bin__location_mismatch,0.013769149388398317
16,cat__kyc_tier_low,0.012686057217338752
17,num__time_of_day,0.011584817065180811
18,num__exchange_rate_src_to_dest,0.00906971444220692
19,num__chargeback_history_count,0.006358613621248521
20,cat__ip_country_us,0.006023100235160192
21,num__corridor_risk,0.0058811730608265625
22,cat__channel_web,0.005748614959234205
23,cat__channel_mobile,0.004781623130024633
24,cat__ip_country_uk,0.00410049626510332
25,bin__night_hours,0.00405959437448941
26,cat__source_currency_GBP,0.003594774851637499
27,bin__account_new,0.0033109645921288243
28,cat__home_country_uk,0.003147354866116468
29,cat__source_currency_USD,0.0027359327495029137
30,cat__home_country_us,0.0024456714630188064
31,cat__transfer_corridor_GBP_to_NGN,0.0024184609600220613
32,cat__day_of_week_3,0.002236751232017337
33,cat__transfer_corridor_USD_to_MXN,0.001915287101300154
34,bin__is_weekend,0.0018546949880202139
35,cat__kyc_tier_standard,0.0017733468511282931
36,cat__day_of_week_2,0.0017394763652543905
37,cat__day_of_week_4,0.001549244622180737
38,cat__day_of_week_6,0.0015008370334760538
39,bin__amount_high,0.0014789328178011797
40,cat__dest_currency_MXN,0.0014748112377329652
41,cat__day_of_week_1,0.0013737819605449438
42,cat__day_of_week_5,0.0013714292192096697
43,cat__dest_currency_PHP,0.0012446685499702252
44,cat__dest_currency_CNY,0.0012043224942105003
45,cat__dest_currency_GBP,0.0010943220899655055
46,cat__dest_currency_NGN,0.0010203691725637592
47,cat__transfer_corridor_USD_to_NGN,0.0009964184504356653
48,cat__transfer_corridor_USD_to_CNY,0.000915251494726885
49,cat__dest_currency_EUR,0.0008263101796403002
50,cat__transfer_corridor_GBP_to_CAD,0.0008154228305504432
51,cat__transfer_corridor_USD_to_PHP,0.000770059880940952
52,cat__dest_currency_USD,0.0007654691834182535
53,cat__transfer_corridor_GBP_to_CNY,0.0006410551644546102
54,cat__transfer_corridor_GBP_to_GBP,0.0006371059727687443
55,cat__transfer_corridor_USD_to_INR,0.0006020918103207494
56,cat__transfer_corridor_CAD_to_EUR,0.0005830582125230327
57,cat__transfer_corridor_GBP_to_PHP,0.0005821564128224428
58,cat__transfer_corridor_USD_to_CAD,0.000568946360286724
59,cat__transfer_corridor_GBP_to_INR,0.0005663248647783911
60,cat__transfer_corridor_USD_to_GBP,0.000550433417180667
61,cat__dest_currency_INR,0.0005309925004538624
62,cat__transfer_corridor_USD_to_EUR,0.0005144640842936532
63,cat__transfer_corridor_CAD_to_GBP,0.000474273513344293
64,cat__transfer_corridor_GBP_to_MXN,0.00033929987129309745
65,cat__transfer_corridor_CAD_to_CNY,0.00031964563847887515
66,cat__transfer_corridor_USD_to_USD,0.00030517476486941863
67,cat__transfer_corridor_CAD_to_MXN,0.00023200448191582486
68,cat__transfer_corridor_CAD_to_USD,0.00021368413499993588
69,cat__transfer_corridor_GBP_to_EUR,0.00018817545820065012
70,cat__transfer_corridor_CAD_to_PHP,0.00017295401420263843
71,cat__transfer_corridor_GBP_to_USD,0.0001513499261837292
72,cat__transfer_corridor_CAD_to_NGN,0.00011837266565684666
73,cat__transfer_corridor_CAD_to_INR,9.471991272528518e-05
74,cat__home_country_unknown,3.6778438390838936e-05
